Title,Price,Location,Link
KIA NEW SPORTAGE RS,68500DT,Monastir,https://www.tayara.tn/item/68168003c1f8f57898e915b5/Voitures/Monastir/Monastir/KIA_NEW_SPORTAGE_RS/
voiture á vendre,21000DT,Zaghouan,https://www.tayara.tn/item/68168003c1f8f57898e915b4/Voitures/Zaghouan/Ez_Zeriba/voiture_vendre_/
SKODA FABIA MONTE CARLO 2022,62000DT,Tunis,https://www.tayara.tn/item/68167fd3c1f8f57898e9158d/Voitures/Tunis/Lac_1/SKODA_FABIA_MONTE_CARLO_2022/
aprilia sr 50,1500DT,Tunis,https://www.tayara.tn/item/68167f11c1f8f57898e914d3/Motos/Tunis/Tunis/aprilia_sr_50/
Fiat Grande Punto,19800DT,Ariana,https://www.tayara.tn/item/68167ef2c5beda2b51d720c2/Voitures/Ariana/Charguia_2/Fiat_Grande_Punto/
Jump starter Noco Gb40 1000A neuf,680DT,Tunis,https://www.tayara.tn/item/68167d5cc5beda2b51d71f6e/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Tunis/Tunis/Jump_starter_Noco_Gb40_1000A_neuf/
BMW blanche serie1,65000DT,Sousse,https://www.tayara.tn/item/6816080bc5beda2b51d6b978/Voitures/Sousse/Khzema/BMW_blanche_serie1/
pare-chocs hyundai i30,500DT,Tunis,https://www.tayara.tn/item/68167a74c5beda2b51d71cde/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Tunis/Sjoumi/parechocs_hyundai_i30/
Qashqai Nissan,55000DT,Monastir,https://www.tayara.tn/item/68167a26c5beda2b51d71c9d/Voitures/Monastir/Monastir/Qashqai_Nissan/
voiture,83000DT,Sfax,https://www.tayara.tn/item/68167a1fc1f8f57898e9109b/Voitures/Sfax/Route_SOKRA/voiture_/
Trafic 9 places,23000DT,Sousse,https://www.tayara.tn/item/68167883c5beda2b51d71b3a/Voitures/Sousse/Sousse/_Trafic_9_places_/
voiture,23500DT,Sfax,https://www.tayara.tn/item/68167720c1f8f57898e90e0f/Voitures/Sfax/Route_de_laroport/voiture_/
Golf 7 smartline 2015,45DT,Le Kef,https://www.tayara.tn/item/681676e2c1f8f57898e90dd4/Voitures/Le_Kef/Le_Kef/Golf_7_smartline_2015/
A vendre fiat Punto 3,130000DT,Nabeul,https://www.tayara.tn/item/681676dbc5beda2b51d719d3/Voitures/Nabeul/Hammamet/A_vendre_fiat_Punto_3/
ford ranger,58371104DT,Ariana,https://www.tayara.tn/item/681674fac5beda2b51d71810/Camions/Ariana/Ettadhamen/ford_ranger_/
Vente une voiture mahindra kuv100 en toute option,35000DT,Tunis,https://www.tayara.tn/item/681674e5c1f8f57898e90bd9/Voitures/Tunis/Tunis/Vente_une_voiture_mahindra_kuv100_en_toute_option_/
Kia Rio,35800DT,Tunis,https://www.tayara.tn/item/681674a2c5beda2b51d717bf/Voitures/Tunis/Le_Bardo/Kia_Rio_/
MG GT SPORT (vente ou échange ),90000DT,Tunis,https://www.tayara.tn/item/6816732ac1f8f57898e90a24/Voitures/Tunis/Tunis/MG_GT_SPORT_vente_ou_change_/
SKODA SCALA 1.6 BVA,63000DT,Nabeul,https://www.tayara.tn/item/68167230c5beda2b51d71570/Voitures/Nabeul/Dar_Chabane_El_Fehri/SKODA_SCALA_16_BVA/
forza gold 125,2350DT,Monastir,https://www.tayara.tn/item/68167220c1f8f57898e90931/Motos/Monastir/Jemmal/forza_gold_125/
KODA SCALA 1.6 BVA,66000DT,Nabeul,https://www.tayara.tn/item/68167179c5beda2b51d714db/Voitures/Nabeul/Dar_Chabane_El_Fehri/KODA_SCALA_16_BVA/
R5,6800DT,La Manouba,https://www.tayara.tn/item/681670a2c5beda2b51d71412/Voitures/La_Manouba/Oued_Ellil/R5/
cappuccino 125,5000DT,Mahdia,https://www.tayara.tn/item/6816706fc5beda2b51d713e8/Motos/Mahdia/Mahdia/cappuccino_125/
golf 3 essence,12900DT,Gabès,https://www.tayara.tn/item/68166fb9c1f8f57898e90728/Voitures/Gabs/El_Hamma/golf_3_essence_/
Seat Léon stile,46000DT,Tunis,https://www.tayara.tn/item/68166f5ac1f8f57898e906d0/Voitures/Tunis/Tunis/Seat_Lon_stile/
SUZUKI DZIRE GL PREMIÈRE MAIN EN TRÈS BON ÉTAT,37800DT,Ariana,https://www.tayara.tn/item/68166d29c5beda2b51d710e2/Voitures/Ariana/Borj_Louzir/SUZUKI_DZIRE_GL_PREMIRE_MAIN_EN_TRS_BON_TAT_/
TOYOTA AVANSIS PREMIÈRE MAIN TRÈS PROPRE,29500DT,Ariana,https://www.tayara.tn/item/68166d05c1f8f57898e904b3/Voitures/Ariana/Ariana/TOYOTA_AVANSIS_PREMIRE_MAIN_TRS_PROPRE_/
Volkswagen t rock,11111DT,Monastir,https://www.tayara.tn/item/68166cccc5beda2b51d7109d/Voitures/Monastir/Monastir/Volkswagen_t_rock/
a vendre kia rio 22647862,64000DT,Ariana,https://www.tayara.tn/item/68166babc1f8f57898e903b2/Voitures/Ariana/Cit_Ennasr_2/a_vendre_kia_rio_22647862/
Av ou Échange X5 3.0L Xdrive Toit Bva,69000DT,La Manouba,https://www.tayara.tn/item/68166b29c1f8f57898e90358/Voitures/La_Manouba/La_Manouba/Av_ou_change_X5_30L_Xdrive_Toit_Bva_/
Av CLA 180 CDI kit AMG,63500DT,La Manouba,https://www.tayara.tn/item/68166ab6c5beda2b51d70ee4/Voitures/La_Manouba/La_Manouba/Av_CLA_180_CDI_kit_AMG/
Av tres belle Vw Jetta,28500DT,La Manouba,https://www.tayara.tn/item/68166a85c1f8f57898e902d6/Voitures/La_Manouba/La_Manouba/Av_tres_belle_Vw_Jetta_/
Av BMW f10 520i BVA Toit Luxury,68500DT,La Manouba,https://www.tayara.tn/item/68166a7ec5beda2b51d70eb8/Voitures/La_Manouba/La_Manouba/Av_BMW_f10_520i_BVA_Toit_Luxury_/
fiât palio Brazilian,11300DT,Bizerte,https://www.tayara.tn/item/68166a0fc5beda2b51d70e5d/Voitures/Bizerte/Zarzouna/fit_palio_Brazilian_/
Écran voiture tactile 7 pouces neuf,450DT,Tunis,https://www.tayara.tn/item/68166974c1f8f57898e901f5/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Tunis/Tunis/cran_voiture_tactile_7_pouces_neuf_/
sub pioneer,550DT,Sfax,https://www.tayara.tn/item/681668c6c5beda2b51d70d65/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Sfax/Sfax/sub_pioneer_/
CLIO bombé cable,16500DT,Sousse,https://www.tayara.tn/item/681667e7c1f8f57898e900a3/Voitures/Sousse/Sousse_Jawhara/CLIO_bomb_cable/
250,24DT,Nabeul,https://www.tayara.tn/item/68166723c5beda2b51d70be6/Voitures/Nabeul/Nabeul/250/
Piaggio MPЗ 500HPE,21000DT,Ben Arous,https://www.tayara.tn/item/68166655c1f8f57898e8ff79/Motos/Ben_Arous/Hammam_Lif/Piaggio_MP_500HPE/
Citroën b9,26.5DT,Monastir,https://www.tayara.tn/item/681665fec5beda2b51d70b27/Voitures/Monastir/Jemmal/Citron_b9_/
Ford fiesta excellente etat Moteur noire,10000DT,Tunis,https://www.tayara.tn/item/681662bfc1f8f57898e8fce9/Voitures/Tunis/Le_Bardo/Ford_fiesta_excellente_etat_Moteur_noire_/
chevrolet sonic 4 cylindres,25500DT,Ben Arous,https://www.tayara.tn/item/6816620bc1f8f57898e8fc5f/Voitures/Ben_Arous/Boumhel/chevrolet_sonic_4_cylindres_/
Poste tactile clio 4,700DT,Sousse,https://www.tayara.tn/item/6816611dc5beda2b51d707b0/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Sousse/Sousse/Poste_tactile_clio_4/
C4 à vendre tel 97628185,35500DT,Nabeul,https://www.tayara.tn/item/681660f4c1f8f57898e8fb81/Voitures/Nabeul/Korba/C4_vendre_tel_97628185/
Poste tactile clio 4,700DT,Sousse,https://www.tayara.tn/item/681660dac5beda2b51d70771/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Sousse/Sousse/Poste_tactile_clio_4/
Une très belle BMW E90 LCI phase 2,46DT,La Manouba,https://www.tayara.tn/item/68165f49c1f8f57898e8fa29/Voitures/La_Manouba/La_Manouba/Une_trs_belle_BMW_E90_LCI_phase_2/
audi q5,62000DT,Ben Arous,https://www.tayara.tn/item/68165eadc1f8f57898e8f9c9/Voitures/Ben_Arous/El_Mourouj_6/audi_q5/
Citroën C1,123DT,Tunis,https://www.tayara.tn/item/68165d6ac5beda2b51d704ee/Voitures/Tunis/Tunis/Citron_C1/
Megane 4 sedan importée de Qatar,58000DT,Ben Arous,https://www.tayara.tn/item/68165cf4c5beda2b51d7048e/Voitures/Ben_Arous/El_Mourouj_5/Megane_4_sedan_importe_de_Qatar_/
Trax,37500DT,Sfax,https://www.tayara.tn/item/68165cf3c5beda2b51d7048d/Engins%20Agricoles/Sfax/El_Amra/Trax_/
kia rio,34DT,Ariana,https://www.tayara.tn/item/68165b4dc1f8f57898e8f719/Voitures/Ariana/El_Menzah_7/kia_rio/
D'max 2.5 injection 2024,113DT,Kairouan,https://www.tayara.tn/item/68165b38c5beda2b51d7034c/Voitures/Kairouan/Bouhajla/Dmax_25_injection_2024/
Peugeot bipper 1.4,20DT,Sidi Bouzid,https://www.tayara.tn/item/68165afcc1f8f57898e8f6d5/Voitures/Sidi_Bouzid/Menzel_Bouzaiane/Peugeot_bipper_14/
bmw e46 essance 7 cv,28500DT,Nabeul,https://www.tayara.tn/item/68165af6c1f8f57898e8f6d3/Voitures/Nabeul/Nabeul/bmw_e46_essance_7_cv/
dacia dokker,26500DT,Sfax,https://www.tayara.tn/item/68165af4c1f8f57898e8f6d0/Voitures/Sfax/Sakiet_Eddaer/dacia_dokker_/
pegout 205,7500DT,Monastir,https://www.tayara.tn/item/68165895c1f8f57898e8f4c8/Voitures/Monastir/Moknine/pegout_205/
TOYOTA AGYA 235,37000DT,Ariana,https://www.tayara.tn/item/6816583dc1f8f57898e8f481/Voitures/Ariana/Cit_Ennasr_2/TOYOTA_AGYA_235/
Vente Fiat fiorino,28000DT,Bizerte,https://www.tayara.tn/item/68165769c1f8f57898e8f3e8/Voitures/Bizerte/Bizerte_Nord/Vente_Fiat_fiorino/
Isuzu,9999DT,Ben Arous,https://www.tayara.tn/item/681656dec1f8f57898e8f37c/Engins%20Agricoles/Ben_Arous/El_Mourouj_4/Isuzu_/
KIA Picanto,32000DT,Sousse,https://www.tayara.tn/item/6816564bc5beda2b51d6ff48/Voitures/Sousse/Kala_Sghira/KIA_Picanto/
A Vendre Golf 7,68000DT,Tunis,https://www.tayara.tn/item/6816550bc5beda2b51d6fe3e/Voitures/Tunis/Ain_Zaghouan_Nord/A_Vendre_Golf_7_/
range Rover évoque,55111112DT,Ariana,https://www.tayara.tn/item/681653a9c5beda2b51d6fd01/Voitures/Ariana/Ariana/range_Rover_voque_/
Peugeot landtrek a vendre,69DT,Ben Arous,https://www.tayara.tn/item/68165210c1f8f57898e8ef2e/Camions/Ben_Arous/Mgrine/Peugeot_landtrek_a_vendre_/
voiture Chery QQ 1ere main à vendre 95030000,22DT,Sfax,https://www.tayara.tn/item/68164fc7c1f8f57898e8ecfb/Voitures/Sfax/Sfax/voiture_Chery_QQ_1ere_main_vendre_95030000/
amarok 100 klm,2DT,La Manouba,https://www.tayara.tn/item/68164fc1c1f8f57898e8eced/Voitures/La_Manouba/La_Manouba/amarok_100_klm/
SUZUKI VITARA1.6 4x4,58000DT,Tunis,https://www.tayara.tn/item/68013e049d6266842d9e6fa6/Voitures/Tunis/Le_Bardo/SUZUKI_VITARA16_4x4/
BMW 116 i,37500DT,Ariana,https://www.tayara.tn/item/68164d43c5beda2b51d6f6c5/Voitures/Ariana/Ariana/BMW_116_i_/
MG GT pack SPORT 2024,85000DT,Tunis,https://www.tayara.tn/item/68164d24c5beda2b51d6f6a7/Voitures/Tunis/Tunis/MG_GT_pack_SPORT_2024/
clio 4,40000DT,Sousse,https://www.tayara.tn/item/68164cb3c5beda2b51d6f637/Voitures/Sousse/Khzema/clio_4_/
Citroën C3,20000DT,Kairouan,https://www.tayara.tn/item/68164b04c5beda2b51d6f4ae/Voitures/Kairouan/Kairouan_Nord/Citron_C3_/
vent Kangoo,3500DT,Monastir,https://www.tayara.tn/item/68164a68c5beda2b51d6f41f/Voitures/Monastir/Autres_Villes/vent_Kangoo_/
B9,29000DT,Sidi Bouzid,https://www.tayara.tn/item/6816497ac5beda2b51d6f34c/Voitures/Sidi_Bouzid/Sidi_Bouzid_Est/B9/
NISSAN PATROL Y60,36DT,Bizerte,https://www.tayara.tn/item/6816475bc5beda2b51d6f18c/Voitures/Bizerte/Bizerte_Nord/NISSAN_PATROL_Y60_/
🚗 SUPERBE RENAULT MEGANE 3 BREAK 1.5 DCI - IMPORTÉE D'ALLEMAGNE 🇩🇪,29900DT,Tunis,https://www.tayara.tn/item/68164737c1f8f57898e8e53a/Voitures/Tunis/Tunis/_SUPERBE_RENAULT_MEGANE_3_BREAK_15_DCI_IMPORTE_DALLEMAGNE_/
BMW 320i coupé BVA,57000DT,Nabeul,https://www.tayara.tn/item/6816461cc5beda2b51d6f044/Voitures/Nabeul/Nabeul/BMW_320i_coup_BVA/
dfsk 1er main,13500DT,La Manouba,https://www.tayara.tn/item/681643ddc5beda2b51d6ee32/Voitures/La_Manouba/Manouba_Ville/dfsk_1er_main_/
Moteur polo6 sdi,500DT,Ben Arous,https://www.tayara.tn/item/68164354c1f8f57898e8e190/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Ben_Arous/Ben_Arous/Moteur_polo6_sdi_/
Partner Comercial 1.9 🇫🇷🇫🇷origin,21900DT,Ariana,https://www.tayara.tn/item/6816426cc1f8f57898e8e0a3/Voitures/Ariana/Ariana/Partner_Comercial_19_origin/
toyota hiace,22000DT,Nabeul,https://www.tayara.tn/item/6816415dc5beda2b51d6ebf0/Voitures/Nabeul/Bni_Khalled/toyota_hiace/
Fiat Scudo 1.6 hdi 2008 en très bon état 3 places,21000DT,Sousse,https://www.tayara.tn/item/68164101c1f8f57898e8df6d/Voitures/Sousse/M_Saken/Fiat_Scudo_16_hdi_2008_en_trs_bon_tat_3_places/
R9 essence,4800DT,Gabès,https://www.tayara.tn/item/68164048c1f8f57898e8ded8/Voitures/Gabs/Gabs/R9_essence_/
Mercedes E300,75000DT,Monastir,https://www.tayara.tn/item/6816401dc1f8f57898e8dea4/Voitures/Monastir/Monastir/Mercedes_E300/
TOYOTA AVANSIS PREMIÈRE MAIN TRÈS PROPRE,29500DT,Ariana,https://www.tayara.tn/item/68163a3ec5beda2b51d6e5b5/Voitures/Ariana/Ariana/TOYOTA_AVANSIS_PREMIRE_MAIN_TRS_PROPRE_/
SUZUKI DZIRE GL PREMIÈRE MAIN EN TRÈS BON ÉTAT,37800DT,Ariana,https://www.tayara.tn/item/681639f7c1f8f57898e8d940/Voitures/Ariana/Borj_Louzir/SUZUKI_DZIRE_GL_PREMIRE_MAIN_EN_TRS_BON_TAT_/
Air bag symbol 1,350DT,Tunis,https://www.tayara.tn/item/681637cbc5beda2b51d6e3a0/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Tunis/Ezzouhour/Air_bag_symbol_1_/
PIÈCES MINI COOPER ET ACCESSOIRE,123DT,Ariana,https://www.tayara.tn/item/6816379cc1f8f57898e8d72c/Voitures/Ariana/Ariana/PICES_MINI_COOPER_ET_ACCESSOIRE_/
haval h6,105000DT,Gafsa,https://www.tayara.tn/item/6816373fc5beda2b51d6e31f/Voitures/Gafsa/Gafsa/haval_h6/
MINI COOPER 7 CH,123DT,Ariana,https://www.tayara.tn/item/6816364fc1f8f57898e8d630/Voitures/Ariana/El_Menzah_8/MINI_COOPER_7_CH/
Mercedes C180,95000DT,Ariana,https://www.tayara.tn/item/68163621c1f8f57898e8d607/Voitures/Ariana/El_Menzah_5/Mercedes_C180/
PARTNER ÉTAT D'ORIGINE,17DT,Sousse,https://www.tayara.tn/item/681633f9c5beda2b51d6e04a/Voitures/Sousse/Hammam_Sousse/PARTNERTAT_DORIGINE_/
Renault trafic,40DT,Médenine,https://www.tayara.tn/item/681633cac5beda2b51d6e027/Voitures/Mdenine/Zarzis/Renault_trafic_/
Golf 7 essence Boite 6,57000DT,Sfax,https://www.tayara.tn/item/68163293c5beda2b51d6df31/Voitures/Sfax/ROUTE_SALTANIA/Golf_7_essence_Boite_6/
FIAT TIPO EDITION LIMITÉE SPECIAL,2DT,Bizerte,https://www.tayara.tn/item/68163168c5beda2b51d6de0a/Voitures/Bizerte/Bizerte/FIAT_TIPO_EDITION_LIMITE_SPECIAL_/
Vente DS3,38000DT,Ariana,https://www.tayara.tn/item/6816310ac1f8f57898e8d166/Voitures/Ariana/Ennasr/Vente_DS3/
Marcedes GLC 350 AMG essence/électrique (Tu 251),1234DT,Sousse,https://www.tayara.tn/item/6816302bc1f8f57898e8d091/Voitures/Sousse/Khzema/Marcedes_GLC_350_AMG_essencelectrique_Tu_251/
Bonne occasion de Mercedes classe A180,68DT,Ben Arous,https://www.tayara.tn/item/68162e4ac1f8f57898e8ceda/Voitures/Ben_Arous/Hammam_Lif/Bonne_occasion_de_Mercedes_classe_A180/
Citroën c4,32.5DT,Sousse,https://www.tayara.tn/item/68162cd8c1f8f57898e8cd86/Voitures/Sousse/Sousse/Citron_c4_/
C3 PHASE 2 FAIBLE KILOMÉTRAGE,24500DT,Sousse,https://www.tayara.tn/item/68162b69c5beda2b51d6d87b/Voitures/Sousse/Kantaoui/C3_PHASE_2_FAIBLE_KILOMTRAGE_/
A vendre Toyota Corolla hatchback 1.2 L turbo 2020,73DT,Tunis,https://www.tayara.tn/item/68162b29c5beda2b51d6d847/Voitures/Tunis/Manar/A_vendre_Toyota_Corolla_hatchback_12_L_turbo_2020/
Moto Vespa,2500DT,Tunis,https://www.tayara.tn/item/68162a44c1f8f57898e8cb5b/Motos/Tunis/L_Aouina/Moto_Vespa/
mercedes classe a200,129999DT,Tunis,https://www.tayara.tn/item/68162a2fc1f8f57898e8cb42/Voitures/Tunis/Le_Bardo/mercedes_classe_a200/
b9 5 places,45DT,Ariana,https://www.tayara.tn/item/68162904c1f8f57898e8ca4d/Voitures/Ariana/Ariana/b9_5_places_/
GOLF 8 eTSI,999DT,Ariana,https://www.tayara.tn/item/68162702c1f8f57898e8c8a1/Voitures/Ariana/Ariana/GOLF_8_eTSI/
Groupe électrogènes,16DT,Kasserine,https://www.tayara.tn/item/68162687c5beda2b51d6d42a/Engins%20Agricoles/Kasserine/Friana/Groupe_lectrognes_/
a vendre frigo pour camion,999999DT,Mahdia,https://www.tayara.tn/item/68162521c5beda2b51d6d30b/Camions/Mahdia/El_Jem/a_vendre_frigo_pour_camion/
Fiat panda,21500DT,Nabeul,https://www.tayara.tn/item/68162431c1f8f57898e8c63c/Voitures/Nabeul/Nabeul/Fiat_panda/
mg gt dans l'emballage,89000DT,Ariana,https://www.tayara.tn/item/681623c9c5beda2b51d6d215/Voitures/Ariana/La_Soukra/mg_gt_dans_lemballage_/
i10 Populaire 1ére main,40500DT,Ariana,https://www.tayara.tn/item/68162395c5beda2b51d6d1e3/Voitures/Ariana/Cit_Ennasr_2/i10_Populaire_1re_main/
kia cerato,41000DT,Mahdia,https://www.tayara.tn/item/681620a3c1f8f57898e8c2d2/Voitures/Mahdia/El_Jem/kia_cerato/
"Peugeot 508 diesel, 1.6 HDI, 115cv, 6cv",34000DT,Sfax,https://www.tayara.tn/item/68161f38c1f8f57898e8c14b/Voitures/Sfax/Route_El_Ain/Peugeot_508_diesel_16_HDI_115cv_6cv/
Polo 5,18000000DT,Sousse,https://www.tayara.tn/item/68161ec7c1f8f57898e8c0eb/Voitures/Sousse/Sidi_El_Hni/Polo_5/
skoda fabia,35500DT,Gabès,https://www.tayara.tn/item/68161e31c5beda2b51d6cc75/Voitures/Gabs/Ghanouch/skoda_fabia/
MAZDA 6,10DT,Tunis,https://www.tayara.tn/item/68161cc4c5beda2b51d6cb43/Voitures/Tunis/Tunis/MAZDA_6/
Coffre Mercedes neuf utilisé une seule fois,2500DT,Tunis,https://www.tayara.tn/item/68161c80c1f8f57898e8bf13/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Tunis/La_Marsa/Coffre_Mercedes_neuf_utilis_une_seule_fois/
Vente où échange,35000DT,Sfax,https://www.tayara.tn/item/68161c7bc5beda2b51d6cb02/Voitures/Sfax/Thyna/Vente_o_change_/
tchaw importe,54747424DT,Tunis,https://www.tayara.tn/item/68161bccc5beda2b51d6ca51/Motos/Tunis/Tunis/tchaw_importe_/
Fiat doblo GARGO,98652840DT,Tunis,https://www.tayara.tn/item/68161b2fc1f8f57898e8bdd3/Voitures/Tunis/Tunis/Fiat_doblo_GARGO_/
clio dynamique,42000DT,Sfax,https://www.tayara.tn/item/68161b05c5beda2b51d6c9b4/Voitures/Sfax/Sfax/clio_dynamique/
Fiat Siena Modele 2007 en tres bon etat,16700DT,Ariana,https://www.tayara.tn/item/681619cec5beda2b51d6c8b8/Voitures/Ariana/Ariana/Fiat_Siena_Modele_2007_en_tres_bon_etat/
Chevrolet Sonic BVA,37500DT,Ariana,https://www.tayara.tn/item/6816180fc5beda2b51d6c703/Voitures/Ariana/Ariana/Chevrolet_Sonic_BVA/
